ID: tm4726 | Título: 'Fast and Furious' | Ano de lançamento: 2001 | Gêneros: 'action,comedy' | Avaliação IMDB: 9.8
ID: ts108042 | Título: 'Maya and the Three' | Ano de lançamento: 2021 | Gêneros: '['comedy', 'drama', 'family', 'fantasy', 'animation', 'action']' | Avaliação IMDB: 8.100000381469727
ID: ts108385 | Título: 'Inventing Anna' | Ano de lançamento: 2022 | Gêneros: '['drama']' | Avaliação IMDB: 6.800000190734863
ID: ts108392 | Título: 'The Letter for the King' | Ano de lançamento: 2020 | Gêneros: '['action', 'family', 'fantasy', 'scifi']' | Avaliação IMDB: 5.900000095367432
ID: ts108593 | Título: 'The Unsettling' | Ano de lançamento: 2019 | Gêneros: '['crime', 'fantasy', 'horror', 'scifi', 'thriller']' | Avaliação IMDB: 5.199999809265137
ID: ts108621 | Título: 'Sky Rojo' | Ano de lançamento: 2021 | Gêneros: '['drama', 'thriller', 'action', 'crime']' | Avaliação IMDB: 6.5
ID: ts110635 | Título: 'Luna Nera' | Ano de lançamento: 2020 | Gêneros: '['drama', 'fantasy', 'thriller', 'scifi']' | Avaliação IMDB: 5.900000095367432
ID: ts110637 | Título: 'Mortel' | Ano de lançamento: 2019 | Gêneros: '['horror', 'scifi', 'crime', 'drama', 'fantasy']' | Avaliação IMDB: 6.400000095367432
ID: ts111206 | Título: 'Fast & Furious Spy Racers' | Ano de lançamento: 2019 | Gêneros: '['family', 'animation', 'action', 'drama', 'comedy', 'crime']' | Avaliação IMDB: 5.699999809265137
ID: ts11188 | Título: 'The Flash' | Ano de lançamento: 2014 | Gêneros: '['drama', 'scifi', 'family', 'animation', 'action']' | Avaliação IMDB: 7.599999904632568
ID: ts112667 | Título: 'Go! Go! Cory Carson' | Ano de lançamento: 2020 | Gêneros: '['comedy', 'family', 'animation']' | Avaliação IMDB: 7.900000095367432
ID: ts112733 | Título: 'Bard of Blood' | Ano de lançamento: 2019 | Gêneros: '['action', 'drama', 'thriller']' | Avaliação IMDB: 6.800000190734863
ID: ts113031 | Título: 'Droppin' Cash: Los Angeles' | Ano de lançamento: 2018 | Gêneros: '['reality']' | Avaliação IMDB: 3.4000000953674316
ID: ts113109 | Título: 'Numberblocks' | Ano de lançamento: 2017 | Gêneros: '['animation']' | Avaliação IMDB: 8.600000381469727
ID: ts11313 | Título: 'DEATH NOTE' | Ano de lançamento: 2006 | Gêneros: '['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime']' | Avaliação IMDB: 9.0
ID: ts113506 | Título: 'The Last Czars' | Ano de lançamento: 2019 | Gêneros: '['romance', 'documentation', 'drama', 'history', 'war']' | Avaliação IMDB: 7.300000190734863
ID: ts113637 | Título: 'The Alcàsser Murders' | Ano de lançamento: 2019 | Gêneros: '['documentation', 'crime']' | Avaliação IMDB: 7.099999904632568
ID: ts113748 | Título: 'Twelve Forever' | Ano de lançamento: 2019 | Gêneros: '['family', 'fantasy', 'animation', 'action', 'comedy']' | Avaliação IMDB: 6.599999904632568
ID: ts113842 | Título: 'Giri/Haji' | Ano de lançamento: 2019 | Gêneros: '['drama', 'thriller', 'crime']' | Avaliação IMDB: 7.800000190734863
ID: ts11397 | Título: 'Adventures of Sonic the Hedgehog' | Ano de lançamento: 1993 | Gêneros: '['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']' | Avaliação IMDB: 6.199999809265137
ID: ts11670 | Título: 'The Adventures of Puss in Boots' | Ano de lançamento: 2015 | Gêneros: '['comedy', 'family', 'animation', 'action', 'fantasy', 'western']' | Avaliação IMDB: 6.599999904632568
ID: ts116814 | Título: 'The Twelve' | Ano de lançamento: 2019 | Gêneros: '['thriller', 'drama']' | Avaliação IMDB: 7.400000095367432
ID: ts11794 | Título: 'The Cat in the Hat Knows a Lot About That!' | Ano de lançamento: 2013 | Gêneros: '['animation', 'family', 'fantasy', 'scifi', 'comedy']' | Avaliação IMDB: 6.400000095367432
ID: ts121176 | Título: 'DreamWorks Shrek's Swamp Stories' | Ano de lançamento: 2010 | Gêneros: '['comedy', 'family', 'fantasy', 'horror', 'music', 'animation', 'scifi']' | Avaliação IMDB: 6.5
ID: ts121489 | Título: 'Two Sentence Horror Stories' | Ano de lançamento: 2017 | Gêneros: '['drama', 'horror', 'thriller']' | Avaliação IMDB: 5.5
ID: ts122290 | Título: 'Dharmakshetra' | Ano de lançamento: 2014 | Gêneros: '['drama']' | Avaliação IMDB: 8.300000190734863
ID: ts12701 | Título: 'Code Lyoko' | Ano de lançamento: 2003 | Gêneros: '['action', 'animation', 'comedy', 'thriller', 'scifi', 'family', 'romance', 'fantasy']' | Avaliação IMDB: 7.300000190734863
ID: ts12724 | Título: '30 Rock' | Ano de lançamento: 2006 | Gêneros: '['comedy', 'sport']' | Avaliação IMDB: 8.300000190734863
ID: ts127430 | Título: 'StoryBots Super Songs' | Ano de lançamento: 2016 | Gêneros: '['animation', 'family']' | Avaliação IMDB: 8.699999809265137
ID: ts12787 | Título: 'Code Geass: Lelouch of the Rebellion' | Ano de lançamento: 2006 | Gêneros: '['scifi', 'action', 'animation', 'drama', 'war', 'thriller']' | Avaliação IMDB: 8.699999809265137
ID: ts12815 | Título: 'Big Time Rush' | Ano de lançamento: 2009 | Gêneros: '['family', 'comedy']' | Avaliação IMDB: 6.300000190734863
ID: ts128895 | Título: 'Midnight Diner: Tokyo Stories' | Ano de lançamento: 2016 | Gêneros: '['drama']' | Avaliação IMDB: 8.399999618530273
ID: ts129445 | Título: 'The Spy' | Ano de lançamento: 2019 | Gêneros: '['drama', 'history']' | Avaliação IMDB: 7.900000095367432
ID: ts131579 | Título: 'Thieves of the Wood' | Ano de lançamento: 2018 | Gêneros: '['history', 'drama', 'action', 'thriller', 'comedy', 'documentation']' | Avaliação IMDB: 6.800000190734863
ID: ts13411 | Título: 'Cocaine' | Ano de lançamento: 2005 | Gêneros: '['documentation', 'european']' | Avaliação IMDB: 7.099999904632568
ID: ts144323 | Título: 'Unnatural Selection' | Ano de lançamento: 2015 | Gêneros: '['reality', 'documentation', 'comedy']' | Avaliação IMDB: 8.100000381469727
ID: ts14520 | Título: 'Action Pack' | Ano de lançamento: 2022 | Gêneros: '['family', 'action', 'animation', 'fantasy', 'scifi', 'comedy']' | Avaliação IMDB: 6.300000190734863
ID: ts14583 | Título: 'BoJack Horseman' | Ano de lançamento: 2014 | Gêneros: '['comedy', 'drama', 'animation']' | Avaliação IMDB: 8.800000190734863
ID: ts1464 | Título: 'The Cartel' | Ano de lançamento: 2008 | Gêneros: '['action', 'drama', 'crime', 'thriller', 'comedy']' | Avaliação IMDB: 8.0
ID: ts1475 | Título: 'Chosen' | Ano de lançamento: 2022 | Gêneros: '['scifi', 'drama', 'thriller']' | Avaliação IMDB: 4.300000190734863
ID: ts15986 | Título: 'Dead Set' | Ano de lançamento: 2008 | Gêneros: '['scifi', 'reality', 'thriller', 'comedy', 'drama', 'horror', 'european']' | Avaliação IMDB: 7.599999904632568
ID: ts16045 | Título: 'Are You The One?' | Ano de lançamento: 2014 | Gêneros: '['reality']' | Avaliação IMDB: 6.400000095367432
ID: ts16117 | Título: '20 Minutes' | Ano de lançamento: 2013 | Gêneros: '['action', 'drama', 'romance']' | Avaliação IMDB: 7.099999904632568
ID: ts161737 | Título: 'Dare Me' | Ano de lançamento: 2019 | Gêneros: '['thriller', 'crime', 'drama', 'reality']' | Avaliação IMDB: 6.599999904632568
ID: ts1639 | Título: 'The Blacklist' | Ano de lançamento: 2013 | Gêneros: '['thriller', 'drama', 'crime']' | Avaliação IMDB: 8.0
ID: ts16919 | Título: 'All That' | Ano de lançamento: 1994 | Gêneros: '['comedy', 'family', 'music']' | Avaliação IMDB: 7.5
ID: ts17156 | Título: 'Arrested Development' | Ano de lançamento: 2003 | Gêneros: '['comedy']' | Avaliação IMDB: 8.699999809265137
ID: ts17598 | Título: 'Arrow' | Ano de lançamento: 2012 | Gêneros: '['action', 'crime', 'drama', 'thriller', 'scifi']' | Avaliação IMDB: 7.5
ID: ts17942 | Título: 'Chappelle's Show' | Ano de lançamento: 2003 | Gêneros: '['comedy', 'music']' | Avaliação IMDB: 8.800000190734863
ID: ts18010 | Título: 'Bloodline' | Ano de lançamento: 2015 | Gêneros: '['drama', 'thriller']' | Avaliação IMDB: 7.900000095367432
ID: ts18551 | Título: 'Cuckoo' | Ano de lançamento: 2012 | Gêneros: '['comedy', 'drama', 'european']' | Avaliação IMDB: 5.900000095367432
ID: ts185885 | Título: 'Oktoberfest: Beer & Blood' | Ano de lançamento: 2020 | Gêneros: '['drama', 'history', 'thriller']' | Avaliação IMDB: 6.800000190734863
ID: ts187070 | Título: 'Pup Academy' | Ano de lançamento: 2019 | Gêneros: '['family', 'comedy']' | Avaliação IMDB: 6.5
ID: ts187386 | Título: 'My Perfect Landing' | Ano de lançamento: 2020 | Gêneros: '['family']' | Avaliação IMDB: 6.400000095367432
ID: ts187443 | Título: 'The Minions of Midas' | Ano de lançamento: 2020 | Gêneros: '['crime', 'drama', 'thriller']' | Avaliação IMDB: 6.599999904632568
ID: ts187541 | Título: 'Hotel Del Luna' | Ano de lançamento: 2019 | Gêneros: '['romance', 'action', 'comedy', 'drama', 'fantasy', 'horror', 'scifi']' | Avaliação IMDB: 8.199999809265137
ID: ts188367 | Título: 'Bombay Begums' | Ano de lançamento: 2021 | Gêneros: '['drama']' | Avaliação IMDB: 5.199999809265137
ID: ts188840 | Título: 'Seis Manos' | Ano de lançamento: 2019 | Gêneros: '['crime', 'drama', 'fantasy', 'animation', 'action']' | Avaliação IMDB: 7.099999904632568
ID: ts188861 | Título: 'Battle Kitty' | Ano de lançamento: 2022 | Gêneros: '['animation', 'fantasy', 'scifi', 'action', 'comedy', 'family']' | Avaliação IMDB: 6.300000190734863
ID: ts188991 | Título: 'Someone Has to Die' | Ano de lançamento: 2020 | Gêneros: '['drama', 'thriller', 'crime']' | Avaliação IMDB: 6.300000190734863
ID: ts1893 | Título: 'Ben & Holly's Little Kingdom' | Ano de lançamento: 2009 | Gêneros: '['animation', 'comedy', 'family', 'fantasy', 'european']' | Avaliação IMDB: 7.400000095367432
ID: ts189314 | Título: 'Tiffany Haddish Presents: They Ready' | Ano de lançamento: 2019 | Gêneros: '['comedy', 'reality']' | Avaliação IMDB: 6.5
ID: ts189405 | Título: 'Killer Ratings' | Ano de lançamento: 2019 | Gêneros: '['documentation', 'crime']' | Avaliação IMDB: 7.599999904632568
ID: ts189422 | Título: 'Home for Christmas' | Ano de lançamento: 2019 | Gêneros: '['comedy', 'drama', 'romance']' | Avaliação IMDB: 7.699999809265137
ID: ts19036 | Título: 'The Fairly OddParents' | Ano de lançamento: 2001 | Gêneros: '['comedy', 'scifi', 'animation', 'family', 'fantasy']' | Avaliação IMDB: 7.199999809265137
ID: ts190452 | Título: 'Stolen Away' | Ano de lançamento: 2020 | Gêneros: '['thriller', 'action', 'crime', 'drama']' | Avaliação IMDB: 7.099999904632568
ID: ts190462 | Título: 'Gentefied' | Ano de lançamento: 2020 | Gêneros: '['comedy', 'drama']' | Avaliação IMDB: 7.300000190734863
ID: ts191121 | Título: 'Reality Z' | Ano de lançamento: 2020 | Gêneros: '['comedy', 'horror', 'scifi']' | Avaliação IMDB: 5.599999904632568
ID: ts191285 | Título: 'The Prince of Tennis' | Ano de lançamento: 2019 | Gêneros: '['drama', 'sport']' | Avaliação IMDB: 7.599999904632568
ID: ts191559 | Título: 'The UnXplained' | Ano de lançamento: 2019 | Gêneros: '['documentation']' | Avaliação IMDB: 7.099999904632568
ID: ts191698 | Título: 'Little Baby Bum' | Ano de lançamento: 2011 | Gêneros: '['family', 'music', 'animation']' | Avaliação IMDB: 6.400000095367432
ID: ts192196 | Título: 'Q-Force' | Ano de lançamento: 2021 | Gêneros: '['animation', 'action', 'comedy', 'crime', 'fantasy', 'scifi']' | Avaliação IMDB: 6.300000190734863
